rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
120,Purple|Lime Green|White|Orange,#6C47B2|#D5D701|#EBF7FF|#F67405,31.5507,28.7035,27.7110,26.5673,24.7707,68.9942,27.6354
121,Black|Purple|Olive Green|Magenta,#080A0D|#6C47B2|#948902|#F24574,37.7685,29.1490,27.5547,26.1761,24.0223,69.2752,27.6626
122,Blue|Purple|Olive Green|Red,#003776|#6C47B2|#948902|#E72F1D,33.3043,28.7134,27.5951,26.6426,25.3236,70.7518,27.6780
123,Black|Dark Grey|Purple|Red,#080A0D|#485259|#6C47B2|#E72F1D,35.5130,28.9116,27.5291,26.5423,25.5564,93.2255,27.7269
124,Black|Purple|Magenta|Orange,#080A0D|#6C47B2|#F24574|#F67405,35.7525,29.0636,27.6318,26.4035,24.7669,76.5104,27.7336
125,Purple|Grey|Red|Orange,#6C47B2|#8C9099|#E72F1D|#F67405,32.0070,28.7301,27.7509,26.7912,25.5735,73.9654,27.7607
126,Dark Grey|Purple|Tan|Red,#485259|#6C47B2|#A79E82|#E72F1D,33.1619,28.9095,27.7289,26.6736,25.2775,86.3126,27.7915
127,Polymaker Teal|Purple|Red|Orange,#4CC0C7|#6C47B2|#E72F1D|#F67405,31.7800,28.7152,27.8364,26.8804,25.5020,70.7640,27.7978
128,Brown|Purple|Red|White,#55331A|#6C47B2|#E72F1D|#EBF7FF,35.0365,29.0739,27.6839,26.5650,25.2189,90.8029,27.8195
129,Dark Olive Drab|Purple|Magenta|Yellow,#575B54|#6C47B2|#F24574|#FFE800,34.6985,29.1092,27.6568,26.5420,24.9171,70.7688,27.8256
130,Green|Dark Grey|Purple|Orange,#06924D|#485259|#6C47B2|#F67405,31.2800,28.6441,27.9300,27.0106,25.1755,65.2291,27.8273
131,Purple|White|Magenta|Orange,#6C47B2|#EBF7FF|#F24574|#F67405,32.2126,28.9152,27.9267,26.8116,25.0400,77.2998,27.8634
132,Purple|Cold White|Red|Pink,#6C47B2|#D9DFE5|#E72F1D|#F1A1AF,32.3626,28.8751,27.9058,26.8917,25.3415,90.6933,27.8834
133,Purple|Cold White|Red|White,#6C47B2|#D9DFE5|#E72F1D|#EBF7FF,32.3787,28.8859,27.9125,26.8925,25.2969,90.6219,27.8892
134,Azure Blue|Black|Magenta|Yellow,#0066D9|#080A0D|#F24574|#FFE800,37.8896,29.4977,27.7467,26.3255,24.6423,54.2124,27.9116
135,Dark Grey|Purple|Olive Green|Red,#485259|#6C47B2|#948902|#E72F1D,33.6918,28.9742,27.8188,26.8589,25.5645,70.5401,27.9166
136,Purple|Cold White|Red|Magenta,#6C47B2|#D9DFE5|#E72F1D|#F24574,32.3875,28.9138,27.9508,26.9369,25.3702,90.4198,27.9254
137,Blue|Azure Blue|Magenta|Yellow,#003776|#0066D9|#F24574|#FFE800,33.6803,29.2603,27.8982,26.5960,24.8368,58.2628,27.9282
138,Blue|Green|Purple|Orange,#003776|#06924D|#6C47B2|#F67405,31.1509,28.7241,28.0506,27.1519,25.3214,65.6631,27.9380
139,Purple|Tan|Red|Pink,#6C47B2|#A79E82|#E72F1D|#F1A1AF,32.2266,28.8862,27.9525,27.0003,25.6067,86.2589,27.9432
140,Blue|Purple|Magenta|Orange,#003776|#6C47B2|#F24574|#F67405,32.9720,29.1929,27.9751,26.7336,25.0361,86.2288,27.9633
141,Black|Purple|Red|Pink,#080A0D|#6C47B2|#E72F1D|#F1A1AF,35.8150,29.1946,27.7790,26.7679,25.7765,94.6230,27.9812
142,Purple|Red|Pink|Magenta,#6C47B2|#E72F1D|#F1A1AF|#F24574,32.8212,29.0410,27.9344,26.9372,25.8229,97.2233,27.9891
143,Purple|Tan|Red|Magenta,#6C47B2|#A79E82|#E72F1D|#F24574,32.2926,28.9466,28.0100,27.0543,25.6560,86.2589,28.0005
144,Dark Olive Drab|Purple|Olive Green|Red,#575B54|#6C47B2|#948902|#E72F1D,33.8142,29.0593,27.8940,26.9441,25.6609,69.9621,28.0017
145,Azure Blue|Dark Grey|Red|Yellow,#0066D9|#485259|#E72F1D|#FFE800,33.4337,29.2116,27.9293,26.8029,25.4718,52.3634,28.0072
146,Brown|Purple|Cold White|Red,#55331A|#6C47B2|#D9DFE5|#E72F1D,35.3059,29.3092,27.8992,26.7393,25.2462,89.8899,28.0242
147,Green|Brown|Purple|Magenta,#06924D|#55331A|#6C47B2|#F24574,36.5249,29.1695,27.9282,26.8979,24.9608,81.7296,28.0337
