rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
817,Polymaker Teal|Cold White|Red,#4CC0C7|#D9DFE5|#E72F1D,33.1714,29.2913,28.4231,27.6227,26.8320,51.8548,28.4570
818,Azure Blue|Lime Green|Pink,#0066D9|#D5D701|#F1A1AF,33.4662,29.2478,28.3802,27.7014,27.1490,51.2878,28.4746
819,Azure Blue|Polymaker Teal|Red,#0066D9|#4CC0C7|#E72F1D,33.1828,29.2987,28.4452,27.6720,26.9236,51.2395,28.4854
820,Polymaker Teal|Red|Pink,#4CC0C7|#E72F1D|#F1A1AF,33.4830,29.7683,28.9188,28.1267,27.3372,52.0054,28.9475
821,Blue|Green|Grey,#003776|#06924D|#8C9099,35.7839,29.7213,28.8263,28.2605,27.8417,40.9539,28.9909
822,Polymaker Teal|Grey|Pink,#4CC0C7|#8C9099|#F1A1AF,31.2645,29.5795,29.0603,28.4931,27.8950,47.3647,29.0363
823,Polymaker Teal|Magenta|Yellow,#4CC0C7|#F24574|#FFE800,34.2399,29.8562,28.9859,28.2683,27.6457,54.7907,29.0622
824,Polymaker Teal|Magenta|Orange,#4CC0C7|#F24574|#F67405,33.0159,29.8306,29.0653,28.3428,27.6355,53.9932,29.0867
825,Azure Blue|Polymaker Teal|Orange,#0066D9|#4CC0C7|#F67405,32.9165,29.8174,29.0916,28.4219,27.7899,51.3404,29.1197
826,Polymaker Teal|Grey|Magenta,#4CC0C7|#8C9099|#F24574,32.6075,29.8150,29.1388,28.4893,27.8404,47.6004,29.1521
827,Polymaker Teal|Pink|Orange,#4CC0C7|#F1A1AF|#F67405,32.9981,30.0048,29.2670,28.5551,27.8438,53.8321,29.2799
828,Purple|Lime Green|Yellow,#6C47B2|#D5D701|#FFE800,43.1780,30.8035,29.1296,28.1634,27.5215,52.8931,29.4835
829,Polymaker Teal|Cold White|Orange,#4CC0C7|#D9DFE5|#F67405,33.1919,30.2349,29.5040,28.7905,28.0725,54.5479,29.5127
830,Azure Blue|Magenta|Yellow,#0066D9|#F24574|#FFE800,34.8889,30.5083,29.6079,28.9027,28.3346,52.4327,29.7055
831,Polymaker Teal|Lime Green|Orange,#4CC0C7|#D5D701|#F67405,33.4574,30.4788,29.7773,29.1281,28.5297,54.1800,29.8035
832,Blue|Polymaker Teal|Pink,#003776|#4CC0C7|#F1A1AF,34.8932,30.4080,29.7102,29.2322,28.8591,41.2056,29.8201
833,Azure Blue|Orange|Yellow,#0066D9|#F67405|#FFE800,34.1999,30.5516,29.7630,29.1285,28.5881,51.3279,29.8401
834,Polymaker Teal|Purple|Yellow,#4CC0C7|#6C47B2|#FFE800,43.5898,31.2727,29.6061,28.6429,28.0057,53.4847,29.9578
835,Blue|Purple|Pink,#003776|#6C47B2|#F1A1AF,34.9767,30.5450,29.8935,29.4526,29.1086,40.9728,29.9988
836,Blue|Azure Blue|Pink,#003776|#0066D9|#F1A1AF,34.9790,30.5465,29.8950,29.4541,29.1100,40.9618,30.0003
837,Blue|Cold White|Pink,#003776|#D9DFE5|#F1A1AF,34.9994,30.5569,29.8995,29.4544,29.1074,41.1039,30.0056
838,Purple|Cold White|Yellow,#6C47B2|#D9DFE5|#FFE800,43.5783,31.3185,29.6606,28.6957,28.0564,53.5198,30.0071
839,Green|Grey|Cold White,#06924D|#8C9099|#D9DFE5,34.1370,30.7432,30.0075,29.2992,28.5890,46.9667,30.0212
840,Green|Polymaker Teal|Grey,#06924D|#4CC0C7|#8C9099,34.1442,30.7490,30.0129,29.3036,28.5923,46.9667,30.0263
841,Polymaker Teal|Orange|Yellow,#4CC0C7|#F67405|#FFE800,33.6422,30.7261,30.0318,29.3882,28.8007,54.3576,30.0571
842,Blue|Polymaker Teal|Magenta,#003776|#4CC0C7|#F24574,36.0819,30.7726,29.9171,29.3446,28.9113,41.9263,30.0586
843,Blue|Polymaker Teal|Grey,#003776|#4CC0C7|#8C9099,33.6555,30.6617,30.1844,29.8022,29.4626,42.7757,30.2319
844,Blue|Azure Blue|Grey,#003776|#0066D9|#8C9099,33.6556,30.6617,30.1845,29.8022,29.4626,42.7759,30.2320
845,Blue|Purple|Grey,#003776|#6C47B2|#8C9099,33.6573,30.6629,30.1856,29.8034,29.4637,42.7774,30.2331
846,Blue|Grey|Cold White,#003776|#8C9099|#D9DFE5,33.6452,30.6633,30.1908,29.8159,29.4859,42.7760,30.2396
847,Blue|Pink|Magenta,#003776|#F1A1AF|#F24574,35.4462,30.8327,30.1375,29.6728,29.3188,40.9720,30.2527
848,Azure Blue|Pink|Yellow,#0066D9|#F1A1AF|#FFE800,34.9006,30.9910,30.1819,29.5436,29.0235,52.8685,30.2673
849,Azure Blue|Green|Grey,#0066D9|#06924D|#8C9099,34.6327,31.0373,30.3113,29.6540,29.0190,46.6514,30.3456
850,Blue|Cold White|Magenta,#003776|#D9DFE5|#F24574,36.6181,31.4807,30.6771,30.1508,29.7733,41.6395,30.8158
851,Blue|Green|Cold White,#003776|#06924D|#D9DFE5,38.6152,31.7097,30.7256,30.1456,29.7505,41.7899,30.9276
852,Blue|Purple|Magenta,#003776|#6C47B2|#F24574,36.7016,31.6235,30.8468,30.3396,29.9740,41.5839,30.9816
853,Blue|Azure Blue|Magenta,#003776|#0066D9|#F24574,36.7045,31.6277,30.8514,30.3445,29.9790,41.5872,30.9861
854,Blue|Green|Polymaker Teal,#003776|#06924D|#4CC0C7,38.6673,31.7747,30.7944,30.2152,29.8181,41.8889,30.9949
855,Blue|Azure Blue|Green,#003776|#0066D9|#06924D,38.7048,31.8183,30.8413,30.2642,29.8659,41.9980,31.0412
856,Azure Blue|Green|Yellow,#0066D9|#06924D|#FFE800,36.7086,32.0426,31.1127,30.3708,29.7590,48.9466,31.2067
857,Green|Purple|Grey,#06924D|#6C47B2|#8C9099,41.8351,32.3607,31.0011,30.1676,29.5822,49.3620,31.2641
858,Polymaker Teal|Grey|Cold White,#4CC0C7|#8C9099|#D9DFE5,32.8375,31.8057,31.3876,30.8753,30.3224,48.4029,31.3405
859,Azure Blue|Polymaker Teal|Grey,#0066D9|#4CC0C7|#8C9099,32.8806,31.8374,31.4260,30.9236,30.3810,48.2664,31.3805
860,Azure Blue|Grey|Cold White,#0066D9|#8C9099|#D9DFE5,32.8716,31.8426,31.4385,30.9496,30.4256,48.2671,31.3961
861,Polymaker Teal|Lime Green|Pink,#4CC0C7|#D5D701|#F1A1AF,35.3347,32.2169,31.5054,30.8716,30.2984,57.7198,31.5442
862,Polymaker Teal|Olive Green|Lime Green,#4CC0C7|#948902|#D5D701,41.1659,32.6155,31.6510,30.9353,30.3083,55.5223,31.7754
863,Lime Green|Red|Pink,#D5D701|#E72F1D|#F1A1AF,35.2091,32.4404,31.7790,31.1605,30.5872,58.7776,31.8005
864,Lime Green|Red|Magenta,#D5D701|#E72F1D|#F24574,35.5697,32.4919,31.7748,31.1178,30.5112,59.0413,31.8049
865,Olive Green|Lime Green|Cold White,#948902|#D5D701|#D9DFE5,41.5849,32.7747,31.8091,31.0720,30.4110,57.6652,31.9233
866,Green|Olive Green|Lime Green,#06924D|#948902|#D5D701,40.7600,32.8096,31.8677,31.1642,30.5501,55.2174,31.9869
867,Azure Blue|Purple|Grey,#0066D9|#6C47B2|#8C9099,35.2400,32.6698,32.1382,31.6395,31.1584,49.6085,32.1547
868,Polymaker Teal|Purple|Grey,#4CC0C7|#6C47B2|#8C9099,35.4163,32.6879,32.1432,31.6407,31.1628,49.7323,32.1643
869,Purple|Grey|Cold White,#6C47B2|#8C9099|#D9DFE5,35.4067,32.6913,32.1526,31.6610,31.1976,49.7323,32.1762
870,Blue|Green|Purple,#003776|#06924D|#6C47B2,43.6925,33.5824,32.1901,31.4247,30.9450,48.3852,32.5035
871,Lime Green|Cold White|Red,#D5D701|#D9DFE5|#E72F1D,36.3591,33.2947,32.5567,31.8769,31.2600,60.7547,32.5858
872,Lime Green|Red|Yellow,#D5D701|#E72F1D|#FFE800,36.0894,33.2879,32.6158,31.9929,31.4131,59.8411,32.6404
873,Polymaker Teal|Olive Green|Yellow,#4CC0C7|#948902|#FFE800,41.5859,33.4727,32.5566,31.8812,31.2814,56.0255,32.6769
874,Azure Blue|Green|Lime Green,#0066D9|#06924D|#D5D701,37.6422,33.4435,32.6298,31.9700,31.3961,50.0806,32.7068
875,Polymaker Teal|Pink|Yellow,#4CC0C7|#F1A1AF|#FFE800,36.3186,33.3817,32.7037,32.0908,31.5207,57.9874,32.7362
876,Purple|Pink|Orange,#6C47B2|#F1A1AF|#F67405,39.6144,33.5970,32.6574,32.0051,31.5145,53.4820,32.8011
877,Purple|Magenta|Orange,#6C47B2|#F24574|#F67405,39.6274,33.5978,32.6568,32.0056,31.5153,53.3101,32.8017
878,Purple|Cold White|Orange,#6C47B2|#D9DFE5|#F67405,39.6921,33.6228,32.6847,32.0315,31.5204,52.9620,32.8272
879,Purple|Red|Orange,#6C47B2|#E72F1D|#F67405,39.6828,33.7473,32.8158,32.1725,31.6881,53.3690,32.9599
880,Olive Green|Cold White|Yellow,#948902|#D9DFE5|#FFE800,42.1672,33.8418,32.9585,32.2703,31.6304,58.8801,33.0561
881,Olive Green|Lime Green|Yellow,#948902|#D5D701|#FFE800,41.9201,33.9694,33.0473,32.3510,31.7289,58.2569,33.1602
882,Azure Blue|Lime Green|Yellow,#0066D9|#D5D701|#FFE800,37.6055,33.9113,33.1114,32.4296,31.8411,52.8677,33.1704
883,Lime Green|Pink|Magenta,#D5D701|#F1A1AF|#F24574,36.6189,33.8995,33.2425,32.6235,32.0453,60.4053,33.2615
884,Azure Blue|Polymaker Teal|Yellow,#0066D9|#4CC0C7|#FFE800,37.6571,34.0213,33.2201,32.5365,31.9485,53.0696,33.2789
885,Azure Blue|Cold White|Yellow,#0066D9|#D9DFE5|#FFE800,37.6346,34.0268,33.2362,32.5575,31.9659,53.1032,33.2921
886,Green|Olive Green|Yellow,#06924D|#948902|#FFE800,41.1262,34.0770,33.1927,32.5362,31.9617,56.7812,33.3066
887,Green|Purple|Cold White,#06924D|#6C47B2|#D9DFE5,46.2198,34.6162,33.0354,32.1511,31.5613,50.8884,33.3836
888,Green|Polymaker Teal|Purple,#06924D|#4CC0C7|#6C47B2,46.2645,34.6560,33.0719,32.1843,31.5908,50.9037,33.4202
889,Azure Blue|Green|Purple,#0066D9|#06924D|#6C47B2,46.1493,34.6965,33.1370,32.2551,31.6658,50.7924,33.4758
890,Lime Green|Cold White|Magenta,#D5D701|#D9DFE5|#F24574,37.4658,34.1987,33.4548,32.7870,32.1784,61.8589,33.4928
891,Azure Blue|Polymaker Teal|Lime Green,#0066D9|#4CC0C7|#D5D701,38.1314,34.4921,33.7147,33.0505,32.4563,53.6627,33.7713
892,Polymaker Teal|Purple|Magenta,#4CC0C7|#6C47B2|#F24574,38.7348,34.5137,33.7156,33.0404,32.4168,52.6853,33.7770
893,Azure Blue|Lime Green|Cold White,#0066D9|#D5D701|#D9DFE5,38.1577,34.5371,33.7636,33.1053,32.5164,53.6674,33.8212
894,Polymaker Teal|Cold White|Magenta,#4CC0C7|#D9DFE5|#F24574,38.3219,34.6945,33.9166,33.1989,32.4850,55.0631,33.9467
895,Polymaker Teal|Pink|Magenta,#4CC0C7|#F1A1AF|#F24574,37.9109,34.6593,33.9279,33.2344,32.5367,54.8996,33.9468
896,Azure Blue|Polymaker Teal|Magenta,#0066D9|#4CC0C7|#F24574,38.3467,34.7052,33.9249,33.2131,32.5125,54.6869,33.9592
897,Azure Blue|Purple|Orange,#0066D9|#6C47B2|#F67405,38.7698,34.6002,33.8755,33.3221,32.8596,53.2537,33.9611
898,Lime Green|Magenta|Yellow,#D5D701|#F24574|#FFE800,37.5987,34.7458,34.0816,33.4707,32.9033,61.0712,34.1082
899,Red|Magenta|Yellow,#E72F1D|#F24574|#FFE800,37.2654,34.7399,34.1199,33.5275,32.9654,60.3878,34.1337
900,Red|Pink|Yellow,#E72F1D|#F1A1AF|#FFE800,37.0082,34.7137,34.1302,33.5605,33.0044,60.9361,34.1371
901,Azure Blue|Cold White|Orange,#0066D9|#D9DFE5|#F67405,36.9789,34.6932,34.1262,33.6093,33.1348,54.0458,34.1513
902,Azure Blue|Pink|Orange,#0066D9|#F1A1AF|#F67405,36.8082,34.6627,34.1390,33.6500,33.1941,53.7138,34.1563
903,Azure Blue|Magenta|Orange,#0066D9|#F24574|#F67405,36.8189,34.6678,34.1423,33.6517,33.1944,53.6546,34.1598
904,Lime Green|Red|Orange,#D5D701|#E72F1D|#F67405,37.0737,34.7599,34.1615,33.5683,32.9950,61.1470,34.1641
905,Azure Blue|Red|Orange,#0066D9|#E72F1D|#F67405,36.8649,34.7114,34.1864,33.7003,33.2493,53.6714,34.2059
906,Blue|Polymaker Teal|Cold White,#003776|#4CC0C7|#D9DFE5,39.2541,34.8385,34.2273,33.8155,33.4917,45.5150,34.3270
907,Blue|Azure Blue|Cold White,#003776|#0066D9|#D9DFE5,39.2530,34.8397,34.2296,33.8181,33.4938,45.5157,34.3289
908,Blue|Purple|Cold White,#003776|#6C47B2|#D9DFE5,39.3005,34.8706,34.2595,33.8482,33.5248,45.5583,34.3594
909,Blue|Azure Blue|Polymaker Teal,#003776|#0066D9|#4CC0C7,39.3293,34.9157,34.3084,33.9019,33.5840,45.5701,34.4088
910,Blue|Polymaker Teal|Purple,#003776|#4CC0C7|#6C47B2,39.3794,34.9489,34.3407,33.9343,33.6174,45.6240,34.4416
911,Blue|Azure Blue|Purple,#003776|#0066D9|#6C47B2,39.3783,34.9498,34.3425,33.9363,33.6189,45.6244,34.4431
912,Lime Green|Magenta|Orange,#D5D701|#F24574|#F67405,37.6676,35.2865,34.6836,34.0943,33.5309,62.1220,34.6904
913,Purple|Cold White|Red,#6C47B2|#D9DFE5|#E72F1D,40.3481,35.4498,34.6157,33.9792,33.4454,54.5950,34.7145
914,Purple|Red|Magenta,#6C47B2|#E72F1D|#F24574,40.2360,35.4764,34.6780,34.0713,33.5654,54.2078,34.7738
915,Cold White|Red|Yellow,#D9DFE5|#E72F1D|#FFE800,37.9998,35.4145,34.7728,34.1528,33.5627,62.1163,34.7836
916,Red|Orange|Yellow,#E72F1D|#F67405|#FFE800,37.7936,35.7204,35.1720,34.6180,34.0746,61.8720,35.1692
917,Polymaker Teal|Purple|Pink,#4CC0C7|#6C47B2|#F1A1AF,39.7895,36.0405,35.3563,34.7675,34.2175,53.9541,35.4040
918,Azure Blue|Purple|Red,#0066D9|#6C47B2|#E72F1D,39.6093,36.1190,35.4329,34.8744,34.3946,54.9092,35.4967
919,Azure Blue|Cold White|Red,#0066D9|#D9DFE5|#E72F1D,38.5992,36.1331,35.5210,34.9526,34.4162,55.8699,35.5429
920,Pink|Magenta|Yellow,#F1A1AF|#F24574|#FFE800,38.5798,36.1725,35.5724,34.9973,34.4485,62.2591,35.5849
921,Azure Blue|Red|Magenta,#0066D9|#E72F1D|#F24574,38.5102,36.1939,35.6282,35.1062,34.6207,55.3557,35.6500
922,Purple|Red|Pink,#6C47B2|#E72F1D|#F1A1AF,40.8709,36.4134,35.6752,35.0872,34.5689,54.5889,35.7503
923,Lime Green|Pink|Orange,#D5D701|#F1A1AF|#F67405,38.3176,36.3470,35.7991,35.2307,34.6668,63.0821,35.7888
924,Magenta|Orange|Yellow,#F24574|#F67405|#FFE800,38.6065,36.5320,35.9852,35.4339,34.8970,62.6250,35.9830
925,Azure Blue|Polymaker Teal|Pink,#0066D9|#4CC0C7|#F1A1AF,38.9554,36.6294,36.0312,35.4213,34.7993,57.0442,36.0254
926,Polymaker Teal|Cold White|Pink,#4CC0C7|#D9DFE5|#F1A1AF,39.0271,36.6895,36.0681,35.4177,34.7392,58.4279,36.0536
927,Lime Green|Cold White|Pink,#D5D701|#D9DFE5|#F1A1AF,38.8469,36.7350,36.1627,35.5757,35.0027,63.7944,36.1554
928,Red|Pink|Magenta,#E72F1D|#F1A1AF|#F24574,38.8282,36.8301,36.2348,35.5802,34.8917,59.3520,36.2052
929,Lime Green|Pink|Yellow,#D5D701|#F1A1AF|#FFE800,38.6500,36.8128,36.2903,35.7523,35.2106,63.6835,36.2825
930,Red|Pink|Orange,#E72F1D|#F1A1AF|#F67405,38.7688,37.0945,36.5685,35.9712,35.3440,61.4575,36.5329
931,Red|Magenta|Orange,#E72F1D|#F24574|#F67405,38.7724,37.0971,36.5712,35.9736,35.3464,61.4362,36.5354
932,Cold White|Red|Magenta,#D9DFE5|#E72F1D|#F24574,39.4153,37.1977,36.5615,35.8754,35.1562,61.6587,36.5365
933,Cold White|Red|Pink,#D9DFE5|#E72F1D|#F1A1AF,39.4648,37.2187,36.5731,35.8813,35.1643,60.4474,36.5500
934,Cold White|Magenta|Yellow,#D9DFE5|#F24574|#FFE800,39.7744,37.1984,36.5708,35.9661,35.3848,63.6221,36.5822
935,Azure Blue|Red|Pink,#0066D9|#E72F1D|#F1A1AF,39.3572,37.2908,36.7604,36.2414,35.7428,55.8994,36.7661
936,Lime Green|Orange|Yellow,#D5D701|#F67405|#FFE800,39.3167,37.4520,36.9238,36.3685,35.8124,64.1248,36.9102
937,Lime Green|Cold White|Orange,#D5D701|#D9DFE5|#F67405,39.4618,37.5221,36.9763,36.4000,35.8258,64.1707,36.9610
938,Pink|Orange|Yellow,#F1A1AF|#F67405|#FFE800,39.1598,37.4869,36.9944,36.4676,35.9316,63.5436,36.9773
939,Azure Blue|Green|Cold White,#0066D9|#06924D|#D9DFE5,42.0057,37.7297,36.9588,36.3462,35.8102,50.7678,37.0380
940,Azure Blue|Green|Polymaker Teal,#0066D9|#06924D|#4CC0C7,42.1179,37.9141,37.1530,36.5432,36.0052,50.7806,37.2286
941,Pink|Magenta|Orange,#F1A1AF|#F24574|#F67405,39.4753,37.8509,37.3305,36.7346,36.1065,62.5936,37.2927
942,Cold White|Red|Orange,#D9DFE5|#E72F1D|#F67405,39.7000,37.9751,37.4358,36.8200,36.1716,63.1737,37.3975
943,Cold White|Magenta|Orange,#D9DFE5|#F24574|#F67405,39.9861,38.2962,37.7543,37.1336,36.4777,64.0142,37.7149
944,Cold White|Pink|Orange,#D9DFE5|#F1A1AF|#F67405,40.0304,38.3684,37.8302,37.2104,36.5543,64.1857,37.7894
945,Cold White|Orange|Yellow,#D9DFE5|#F67405|#FFE800,40.1451,38.3825,37.8726,37.3306,36.7835,64.4818,37.8566
946,Green|Polymaker Teal|Cold White,#06924D|#4CC0C7|#D9DFE5,43.0991,39.3425,38.5634,37.8461,37.1404,56.8444,38.5943
947,Cold White|Pink|Yellow,#D9DFE5|#F1A1AF|#FFE800,41.1766,39.4172,38.9023,38.3565,37.7979,65.5144,38.8868
948,Green|Lime Green|Yellow,#06924D|#D5D701|#FFE800,42.8862,39.5623,38.8944,38.3151,37.7716,58.7910,38.9387
949,Purple|Cold White|Magenta,#6C47B2|#D9DFE5|#F24574,44.4010,39.7633,39.0381,38.4544,37.9387,57.8781,39.1089
950,Green|Cold White|Yellow,#06924D|#D9DFE5|#FFE800,42.9422,39.7277,39.0889,38.5095,37.9467,59.1785,39.1186
951,Purple|Cold White|Pink,#6C47B2|#D9DFE5|#F1A1AF,44.2873,39.8046,39.1440,38.6036,38.1187,57.5142,39.2041
952,Purple|Pink|Magenta,#6C47B2|#F1A1AF|#F24574,44.2172,39.8207,39.1564,38.6139,38.1314,57.3191,39.2173
953,Green|Lime Green|Cold White,#06924D|#D5D701|#D9DFE5,43.0709,40.1042,39.4989,38.9364,38.3861,58.7690,39.5203
954,Azure Blue|Purple|Pink,#0066D9|#6C47B2|#F1A1AF,43.6838,40.3135,39.7591,39.2765,38.8324,58.1560,39.7950
955,Green|Polymaker Teal|Yellow,#06924D|#4CC0C7|#FFE800,43.4521,40.4423,39.8160,39.2518,38.7126,59.4068,39.8470
956,Green|Polymaker Teal|Lime Green,#06924D|#4CC0C7|#D5D701,43.3516,40.4357,39.8362,39.2837,38.7473,58.8019,39.8597
957,Azure Blue|Purple|Magenta,#0066D9|#6C47B2|#F24574,44.1693,40.5758,39.9545,39.4319,38.9629,58.4386,40.0039
958,Azure Blue|Cold White|Magenta,#0066D9|#D9DFE5|#F24574,43.1381,41.0119,40.4628,39.9003,39.3355,60.6936,40.4561
959,Azure Blue|Pink|Magenta,#0066D9|#F1A1AF|#F24574,42.7868,41.1429,40.6836,40.2057,39.7308,59.8381,40.6743
960,Azure Blue|Cold White|Pink,#0066D9|#D9DFE5|#F1A1AF,43.0144,41.5164,41.0604,40.5638,40.0571,61.0658,41.0401
961,Cold White|Pink|Magenta,#D9DFE5|#F1A1AF|#F24574,43.7986,42.1956,41.6626,41.0381,40.3639,65.3774,41.6168
962,Polymaker Teal|Purple|Cold White,#4CC0C7|#6C47B2|#D9DFE5,51.4431,44.1073,43.3316,42.8149,42.3926,57.7689,43.4611
963,Polymaker Teal|Cold White|Yellow,#4CC0C7|#D9DFE5|#FFE800,46.3456,44.4430,43.9372,43.4153,42.8853,65.7688,43.9291
964,Polymaker Teal|Lime Green|Yellow,#4CC0C7|#D5D701|#FFE800,46.4497,44.4639,43.9457,43.4147,42.8801,65.6689,43.9393
965,Azure Blue|Polymaker Teal|Purple,#0066D9|#4CC0C7|#6C47B2,51.6975,44.6602,43.9018,43.3884,42.9662,59.2483,44.0243
966,Azure Blue|Purple|Cold White,#0066D9|#6C47B2|#D9DFE5,51.8786,44.8007,44.0338,43.4992,43.0437,60.8128,44.1500
967,Polymaker Teal|Lime Green|Cold White,#4CC0C7|#D5D701|#D9DFE5,46.4878,44.6872,44.1963,43.6776,43.1453,66.5417,44.1824
968,Lime Green|Cold White|Yellow,#D5D701|#D9DFE5|#FFE800,48.3245,46.8072,46.3308,45.7921,45.2208,72.6053,46.2997
969,Azure Blue|Polymaker Teal|Cold White,#0066D9|#4CC0C7|#D9DFE5,50.1138,48.8346,48.4389,47.9942,47.5299,64.8641,48.4144
