rank,labels,hexes,sigma0,sigma2,sigma4,sigma8,sigma16,p99_sigma2,rank_key
3883,Green|Purple|Lime Green|White,#06924D|#6C47B2|#D5D701|#EBF7FF,52.2667,36.3158,31.4400,28.2440,26.2784,81.5814,32.2799
3884,Brown|Olive Green|Tan|Magenta,#55331A|#948902|#A79E82|#F24574,37.7398,34.0193,32.3960,30.5571,28.4878,49.8124,32.2882
3885,Purple|Cold White|White|Orange,#6C47B2|#D9DFE5|#EBF7FF|#F67405,45.5541,35.1157,31.9306,29.4674,27.5364,59.3961,32.2916
3886,Brown|Olive Green|Tan|Orange,#55331A|#948902|#A79E82|#F67405,37.7042,34.0266,32.4138,30.5675,28.4953,49.8231,32.2971
3887,Brown|Olive Green|Tan|Yellow,#55331A|#948902|#A79E82|#FFE800,37.7042,34.0266,32.4138,30.5675,28.4953,49.8231,32.2971
3888,Brown|Olive Green|Tan|Red,#55331A|#948902|#A79E82|#E72F1D,37.7210,34.0304,32.4151,30.5745,28.4974,49.7783,32.3025
3889,Brown|Olive Green|Tan|Pink,#55331A|#948902|#A79E82|#F1A1AF,37.6832,34.0178,32.4128,30.5932,28.5420,50.5850,32.3055
3890,Green|Purple|Lime Green|Yellow,#06924D|#6C47B2|#D5D701|#FFE800,52.4959,36.4382,31.5165,28.2481,26.2497,82.6681,32.3432
3891,Purple|Cold White|Red|Orange,#6C47B2|#D9DFE5|#E72F1D|#F67405,45.7317,35.2045,31.9954,29.5088,27.5163,59.7773,32.3566
3892,Black|Purple|White|Magenta,#080A0D|#6C47B2|#EBF7FF|#F24574,41.1411,35.2205,32.4545,29.5312,26.6673,72.0143,32.3759
3893,Polymaker Teal|White|Pink|Magenta,#4CC0C7|#EBF7FF|#F1A1AF|#F24574,39.5672,34.8095,32.6057,30.0761,27.2182,51.1919,32.4428
3894,Polymaker Teal|Tan|Cold White|Orange,#4CC0C7|#A79E82|#D9DFE5|#F67405,36.8090,34.1830,32.6900,30.7131,28.3358,53.8589,32.4480
